City_ID,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
425,CV,1584253690,15.13,-23.22,11,77,69.8,14.99
426,ES,1584253416,42.25,-2.5,21,66,32.0,1.12
427,CV,1584253690,16.18,-22.92,40,88,68.0,9.17
428,SB,1584253690,-8.14,159.59,87,75,83.59,9.48
429,NU,1584253690,-19.06,-169.92,100,88,80.6,4.7
430,MZ,1584253690,-17.88,36.89,20,88,78.8,3.36
431,TH,1584253690,9.95,99.08,75,47,95.0,8.05
432,TD,1584253690,13.47,22.2,72,18,67.39,17.74
433,ID,1584253448,5.56,95.32,34,57,88.56,9.33
434,IN,1584253691,14.48,79.98,9,47,88.84,12.95
435,IT,1584253691,37.8,12.44,40,82,60.01,14.99
436,RU,1584253691,56.91,118.26,16,58,13.96,2.57
437,UA,1584253691,50.59,34.48,11,46,29.84,18.84
438,NO,1584253439,70.37,31.11,100,83,28.26,33.67
439,ZW,1584253692,-21.05,31.67,8,52,81.05,1.39
440,LY,1584253692,32.12,20.07,44,59,62.44,7.14
441,FI,1584253692,60.57,27.2,0,79,21.99,8.05
442,CD,1584253692,-5.25,14.87,65,95,71.56,1.21
443,KZ,1584253692,53.88,67.42,100,100,35.47,19.71
444,AU,1584253598,-35.35,150.47,75,59,66.99,16.11
445,RU,1584253693,53.99,48.33,90,83,35.6,4.47
446,ID,1584253693,-1.6,103.62,40,37,96.24,3.22
447,LY,1584253693,32.47,14.57,0,72,61.16,12.77
448,BR,1584253693,-4.41,-40.44,100,96,73.0,1.88
449,ET,1584253693,11.18,40.02,100,92,64.56,4.9
450,MX,1584253491,30.48,-115.95,61,79,58.82,8.41
451,NO,1584253694,71.0,24.66,90,85,24.8,26.4
452,IN,1584253694,22.67,88.87,40,65,81.0,11.41
453,AU,1584253694,-30.65,153.0,100,88,66.99,12.75
454,US,1584253694,37.1,-113.58,90,76,53.01,5.82
455,JP,1584253695,34.82,135.43,75,53,54.0,10.29
456,ES,1584253695,36.97,-2.21,99,81,54.0,2.24
457,RU,1584253695,42.43,130.64,100,66,33.8,9.95
458,TH,1584253695,14.71,101.42,100,63,84.2,3.47
459,AU,1584253695,-37.88,147.98,0,53,66.0,4.0
460,US,1584253626,44.76,-85.62,1,68,28.4,8.05
461,KE,1584253696,3.12,35.6,100,36,90.77,7.92
462,DE,1584253696,53.22,7.8,20,70,46.99,11.41
463,US,1584253696,36.62,-121.92,90,90,52.0,9.17
464,PK,1584253696,25.05,61.74,100,67,73.33,9.19
465,US,1584253696,21.4,-157.74,20,69,77.0,16.11
466,MG,1584253696,-25.17,45.05,92,63,80.06,10.49
467,YT,1584253696,-12.73,45.2,100,79,86.0,5.82
468,AO,1584253697,-14.66,17.69,100,98,63.86,5.7
469,US,1584253450,34.64,-120.46,90,81,55.4,3.36
470,AU,1584253697,-35.57,138.62,0,27,75.2,13.87
471,US,1584253650,29.6,-90.72,1,94,71.01,6.93
472,PE,1584253697,-11.1,-77.61,99,80,71.24,3.09
473,RU,1584253697,62.55,155.55,100,94,-4.05,3.53
474,PG,1584253698,-9.08,143.21,22,71,86.04,5.95
475,CA,1584253698,47.84,-83.4,93,99,3.22,4.43
476,RU,1584253698,62.89,54.96,68,91,16.25,7.18
477,US,1584253698,41.53,-87.42,90,80,35.01,9.17
478,GB,1584253490,54.28,-0.4,100,87,50.0,20.8
479,PT,1584253698,37.73,-25.67,20,82,55.4,4.7
480,MX,1584253699,19.22,-104.7,46,85,76.6,4.97
481,ZA,1584253699,-29.13,31.4,75,73,77.0,4.7
482,PG,1584253699,-6.12,141.29,55,88,82.44,3.2
483,ZA,1584253699,-34.02,20.44,100,88,62.6,4.7
484,CL,1584253423,-33.04,-71.63,0,87,53.6,5.82
485,CN,1584253541,33.07,107.03,31,23,68.58,7.52
486,YE,1584253699,15.06,43.29,18,70,73.65,4.12
487,PG,1584253431,-6.22,155.63,100,77,84.51,12.68
488,SE,1584253700,62.49,17.33,89,74,35.01,8.05
489,NO,1584253700,69.23,17.98,75,95,32.0,16.11
490,VU,1584253700,-19.55,169.27,90,74,86.0,16.11
491,AR,1584253590,-27.8,-64.26,93,91,72.48,6.64
492,RU,1584253700,51.4,83.56,84,98,36.75,6.26
493,PG,1584253558,-9.44,147.18,90,94,78.8,11.41
494,AR,1584253662,-42.77,-65.04,0,74,55.26,8.84
495,NI,1584253701,12.01,-83.76,32,99,71.17,2.51
496,EG,1584253701,31.26,32.28,25,93,59.0,2.24
497,RU,1584253701,67.47,86.58,100,94,12.88,14.99
498,ES,1584253701,43.34,-6.41,21,87,43.0,4.7
499,IT,1584253504,46.62,10.7,75,93,41.0,4.07
500,CN,1584253702,24.19,102.82,77,24,81.88,15.66
501,RU,1584253702,53.86,120.88,43,85,18.84,5.55
502,US,1584253702,41.8,-73.12,90,59,42.01,12.75
503,RU,1584253702,63.45,120.32,99,90,23.38,5.55
504,PT,1584253702,42.03,-8.16,75,93,53.01,3.36
505,KZ,1584253703,51.1,66.32,100,93,36.07,17.09
506,FR,1584253703,43.57,1.3,13,86,44.01,4.7
507,VE,1584253703,10.26,-67.79,10,80,75.15,4.9
508,GA,1584253703,-0.72,8.78,40,94,78.8,8.05
509,GR,1584253703,36.82,21.7,8,93,57.99,4.7
510,PE,1584253703,-16.62,-72.71,77,89,65.64,3.13
511,RU,1584253421,46.49,135.88,100,84,19.92,9.93
512,RU,1584253704,51.23,38.38,100,47,28.81,20.87
513,CA,1584253458,68.22,-135.01,90,72,17.6,11.41
514,ML,1584253704,11.42,-7.48,15,15,71.76,5.28
515,US,1584253704,40.69,-75.19,40,75,45.0,7.25
516,RU,1584253704,54.43,113.6,49,70,28.06,3.8
517,RU,1584253705,63.28,118.33,94,94,26.38,6.98
518,RU,1584253705,67.47,78.7,92,85,-1.52,15.23
519,CN,1584253705,30.35,114.32,0,32,69.8,4.47
520,RU,1584253705,55.77,48.98,2,84,37.4,4.47
521,TD,1584253705,12.18,18.69,49,13,68.25,5.55
522,MG,1584253705,-25.17,46.08,86,60,81.64,4.65
523,JP,1584253508,26.18,127.76,40,45,64.4,14.99
524,CA,1584253706,47.17,-55.15,89,79,29.32,28.63
525,IS,1584253706,66.04,-17.34,0,71,8.6,27.51
526,CA,1584253698,55.78,-118.84,20,69,-8.0,8.05
527,CO,1584253706,4.27,-73.49,91,92,61.39,1.99
528,SD,1584253706,14.2,24.67,87,20,63.28,6.51
529,CN,1584253459,40.28,97.2,100,15,48.87,18.84
530,CN,1584253707,40.85,122.75,75,25,32.61,22.28
531,SN,1584253707,12.48,-16.55,0,73,75.2,9.17
532,IN,1584253519,20.57,78.83,20,32,84.2,2.24
533,TH,1584253707,15.24,105.23,97,46,95.0,2.24
534,RU,1584253707,48.12,132.48,16,76,22.32,4.41
